condition,source_file,requestIndex,eventId,scenarioName,eventType,severity,group,ablationMode,success,n_gold,evidence_hits,Re_assist,expected_responsibility,predicted_responsibility,responsibility_consistent,N_wrong_assist,N_claim_assist,Ef_assist,readability_assist,evidence_count,suggestion_count,field_completeness,structured_compliance,confidence_present,evidence_fill_ratio,rawText_chars,rawText_non_overlap,derived_signal_recall,analysis_depth_chars,QI_sample,summary_chars,rootCause_chars,total_text_chars,latency_ms,prompt_tokens,completion_tokens,total_tokens,retry_count,prompt_chars,fact_notes,error,summary,rootCause,evidencePoints
A_D0,cloud_experiment_results_A_D0_20260519_024529Z.json,0,EXP-20260518-001,追尾碰撞（跟车过近）,COLLISION,HIGH,A,D0,True,6,0,0.0,驾驶员,驾驶员,True,0,2,0.0,1.35,0,0,0.0,0.0,False,0.0,0,0.0,0.0,0,36.75,31,23,60,2850.3,128,172,300,0,264,,,事故COLLISION发生于苏州·工业园区，严重程度HIGH。,主要责任驾驶员61%，系统25%，环境14%。,
A_D0,cloud_experiment_results_A_D0_20260519_024529Z.json,1,EXP-20260518-002,侧向刮擦（变道冲突）,COLLISION,HIGH,A,D0,True,6,0,0.0,驾驶员,驾驶员,True,0,2,0.0,1.35,0,0,0.0,0.0,False,0.0,0,0.0,0.0,0,36.75,31,23,59,5135.5,128,303,431,0,264,,,事故COLLISION发生于苏州·工业园区，严重程度HIGH。,主要责任驾驶员71%，系统14%，环境15%。,
A_D0,cloud_experiment_results_A_D0_20260519_024529Z.json,2,EXP-20260518-003,静止障碍碰撞,COLLISION,LOW,A,D0,True,6,0,0.0,驾驶员,驾驶员,True,0,2,0.0,1.35,0,0,0.0,0.0,False,0.0,0,0.0,0.0,0,36.75,29,23,57,1784.7,129,118,247,0,262,,,事故COLLISION发生于西安·高新区，严重程度LOW。,主要责任驾驶员69%，系统17%，环境14%。,
A_D0,cloud_experiment_results_A_D0_20260519_024529Z.json,3,EXP-20260518-004,倒车碰撞非机动车,COLLISION,LOW,A,D0,True,6,0,0.0,驾驶员,驾驶员,True,0,3,0.0,3.15,3,3,1.0,0.4286,True,0.5,57,1.0,0.0,86,45.75,29,23,285,5034.0,129,281,410,0,262,,,事故COLLISION发生于成都·高新区，严重程度LOW。,主要责任驾驶员58%，系统30%，环境12%。,驾驶员视线偏离前方2秒 | 系统碰撞预警激活但未制动 | 天气状况良好无降雨
A_D0,cloud_experiment_results_A_D0_20260519_024529Z.json,4,EXP-20260518-005,环岛内连环碰撞,COLLISION,MEDIUM,A,D0,True,6,0,0.0,驾驶员,驾驶员,True,1,3,0.3333,1.35,0,0,0.0,0.0,False,0.0,0,0.0,0.0,0,33.42,33,23,62,7707.2,132,590,722,0,266,"weather疑似矛盾: expected=晴, mentioned=['雨']",,事故COLLISION发生于南京·雨花台区，严重程度MEDIUM。,主要责任驾驶员68%，系统22%，环境10%。,
A_D0,cloud_experiment_results_A_D0_20260519_024529Z.json,5,EXP-20260518-006,匝道末端减速不及,COLLISION,MEDIUM,A,D0,True,6,0,0.0,驾驶员,驾驶员,True,0,2,0.0,1.35,0,0,0.0,0.0,False,0.0,0,0.0,0.0,0,36.75,33,23,62,2238.4,130,143,273,0,266,,,事故COLLISION发生于上海·浦东新区，严重程度MEDIUM。,主要责任驾驶员64%，系统25%，环境11%。,
A_D0,cloud_experiment_results_A_D0_20260519_024529Z.json,6,EXP-20260518-007,隧道内低速追尾,COLLISION,MEDIUM,A,D0,True,6,0,0.0,驾驶员,驾驶员,True,0,2,0.0,1.35,0,0,0.0,0.0,False,0.0,0,0.0,0.0,0,36.75,33,23,61,2328.7,130,157,287,0,266,,,事故COLLISION发生于上海·浦东新区，严重程度MEDIUM。,主要责任驾驶员68%，系统22%，环境10%。,
A_D0,cloud_experiment_results_A_D0_20260519_024529Z.json,7,EXP-20260518-008,NOA 异常退出未提示,AUTOPILOT_FAULT,HIGH,A,D0,True,6,0,0.0,系统,系统,True,0,2,0.0,1.35,0,0,0.0,0.0,False,0.0,36,0.0,0.0,0,36.75,36,23,101,3795.2,134,254,388,0,269,,,事故AUTOPILOT_FAULT发生于深圳·南山区，严重程度HIGH。,主要责任驾驶员20%，系统70%，环境10%。,
A_D0,cloud_experiment_results_A_D0_20260519_024529Z.json,8,EXP-20260518-009,横向控制振荡诱发偏离,AUTOPILOT_FAULT,LOW,A,D0,True,6,0,0.0,系统,系统,True,0,2,0.0,1.35,0,0,0.0,0.0,False,0.0,0,0.0,0.0,0,36.75,35,23,64,3285.6,134,232,366,0,268,,,事故AUTOPILOT_FAULT发生于西安·高新区，严重程度LOW。,主要责任驾驶员22%，系统66%，环境12%。,
A_D0,cloud_experiment_results_A_D0_20260519_024529Z.json,9,EXP-20260518-010,感知误检导致误制动,AUTOPILOT_FAULT,HIGH,A,D0,True,6,0,0.0,系统,系统,True,0,2,0.0,1.35,0,0,0.0,0.0,False,0.0,0,0.0,0.0,0,36.75,38,23,66,11198.4,135,735,870,0,271,,,事故AUTOPILOT_FAULT发生于武汉·东湖高新区，严重程度HIGH。,主要责任驾驶员32%，系统58%，环境10%。,
A_D0,cloud_experiment_results_A_D0_20260519_024529Z.json,10,EXP-20260518-011,规划轨迹突变,AUTOPILOT_FAULT,HIGH,A,D0,True,6,0,0.0,系统,系统,True,0,2,0.0,1.35,0,0,0.0,0.0,False,0.0,0,0.0,0.0,0,36.75,37,22,65,4292.0,134,340,474,0,269,,,事故AUTOPILOT_FAULT发生于上海·浦东新区，严重程度HIGH。,主要责任驾驶员29%，系统62%，环境9%。,
